Id,ActivityDay,StepTotal
1503960366,2016-04-12,13162
1503960366,2016-04-13,10735
1503960366,2016-04-14,10460
1503960366,2016-04-15,9762
1503960366,2016-04-16,12669
1503960366,2016-04-17,9705
1503960366,2016-04-18,13019
1503960366,2016-04-19,15506
1503960366,2016-04-20,10544
1503960366,2016-04-21,9819
1503960366,2016-04-22,12764
1503960366,2016-04-23,14371
1503960366,2016-04-24,10039
1503960366,2016-04-25,15355
1503960366,2016-04-26,13755
1503960366,2016-04-27,18134
1503960366,2016-04-28,13154
1503960366,2016-04-29,11181
1503960366,2016-04-30,14673
1503960366,2016-05-01,10602
1503960366,2016-05-02,14727
1503960366,2016-05-03,15103
1503960366,2016-05-04,11100
1503960366,2016-05-05,14070
1503960366,2016-05-06,12159
1503960366,2016-05-07,11992
1503960366,2016-05-08,10060
1503960366,2016-05-09,12022
1503960366,2016-05-10,12207
1503960366,2016-05-11,12770
1503960366,2016-05-12,0
1624580081,2016-04-12,8163
1624580081,2016-04-13,7007
1624580081,2016-04-14,9107
1624580081,2016-04-15,1510
1624580081,2016-04-16,5370
1624580081,2016-04-17,6175
1624580081,2016-04-18,10536
1624580081,2016-04-19,2916
1624580081,2016-04-20,4974
1624580081,2016-04-21,6349
1624580081,2016-04-22,4026
1624580081,2016-04-23,8538
1624580081,2016-04-24,6076
1624580081,2016-04-25,6497
1624580081,2016-04-26,2826
1624580081,2016-04-27,8367
1624580081,2016-04-28,2759
1624580081,2016-04-29,2390
1624580081,2016-04-30,6474
1624580081,2016-05-01,36019
1624580081,2016-05-02,7155
1624580081,2016-05-03,2100
1624580081,2016-05-04,2193
1624580081,2016-05-05,2470
1624580081,2016-05-06,1727
1624580081,2016-05-07,2104
1624580081,2016-05-08,3427
1624580081,2016-05-09,1732
1624580081,2016-05-10,2969
1624580081,2016-05-11,3134
1624580081,2016-05-12,2971
1644430081,2016-04-12,10694
1644430081,2016-04-13,8001
1644430081,2016-04-14,11037
1644430081,2016-04-15,5263
1644430081,2016-04-16,15300
1644430081,2016-04-17,8757
1644430081,2016-04-18,7132
1644430081,2016-04-19,11256
1644430081,2016-04-20,2436
1644430081,2016-04-21,1223
1644430081,2016-04-22,3673
1644430081,2016-04-23,6637
1644430081,2016-04-24,3321
1644430081,2016-04-25,3580
1644430081,2016-04-26,9919
1644430081,2016-04-27,3032
1644430081,2016-04-28,9405
1644430081,2016-04-29,3176
1644430081,2016-04-30,18213
1644430081,2016-05-01,6132
1644430081,2016-05-02,3758
1644430081,2016-05-03,12850
1644430081,2016-05-04,2309
1644430081,2016-05-05,4363
1644430081,2016-05-06,9787
1644430081,2016-05-07,13372
1644430081,2016-05-08,6724
1644430081,2016-05-09,6643
1644430081,2016-05-10,9167
1644430081,2016-05-11,1329
1844505072,2016-04-12,6697
1844505072,2016-04-13,4929
1844505072,2016-04-14,7937
1844505072,2016-04-15,3844
1844505072,2016-04-16,3414
1844505072,2016-04-17,4525
1844505072,2016-04-18,4597
1844505072,2016-04-19,197
1844505072,2016-04-20,8
1844505072,2016-04-21,8054
1844505072,2016-04-22,5372
1844505072,2016-04-23,3570
1844505072,2016-04-24,0
1844505072,2016-04-25,0
1844505072,2016-04-26,0
1844505072,2016-04-27,4
1844505072,2016-04-28,6907
1844505072,2016-04-29,4920
1844505072,2016-04-30,4014
1844505072,2016-05-01,2573
1844505072,2016-05-02,0
1844505072,2016-05-03,4059
1844505072,2016-05-04,2080
1844505072,2016-05-05,2237
1844505072,2016-05-06,44
1844505072,2016-05-07,0
1844505072,2016-05-08,0
1844505072,2016-05-09,0
1844505072,2016-05-10,0
1844505072,2016-05-11,0
1844505072,2016-05-12,0
1927972279,2016-04-12,678
1927972279,2016-04-13,356
1927972279,2016-04-14,2163
1927972279,2016-04-15,980
1927972279,2016-04-16,0
1927972279,2016-04-17,0
1927972279,2016-04-18,244
1927972279,2016-04-19,0
1927972279,2016-04-20,0
1927972279,2016-04-21,0
1927972279,2016-04-22,149
1927972279,2016-04-23,2945
1927972279,2016-04-24,2090
1927972279,2016-04-25,152
1927972279,2016-04-26,3761
1927972279,2016-04-27,0
1927972279,2016-04-28,1675
1927972279,2016-04-29,0
1927972279,2016-04-30,0
1927972279,2016-05-01,2704
1927972279,2016-05-02,3790
1927972279,2016-05-03,1326
1927972279,2016-05-04,1786
1927972279,2016-05-05,0
1927972279,2016-05-06,2091
1927972279,2016-05-07,1510
1927972279,2016-05-08,0
1927972279,2016-05-09,0
1927972279,2016-05-10,0
1927972279,2016-05-11,0
1927972279,2016-05-12,0
2022484408,2016-04-12,11875
2022484408,2016-04-13,12024
2022484408,2016-04-14,10690
2022484408,2016-04-15,11034
2022484408,2016-04-16,10100
2022484408,2016-04-17,15112
2022484408,2016-04-18,14131
2022484408,2016-04-19,11548
2022484408,2016-04-20,15112
2022484408,2016-04-21,12453
2022484408,2016-04-22,12954
2022484408,2016-04-23,6001
2022484408,2016-04-24,13481
2022484408,2016-04-25,11369
2022484408,2016-04-26,10119
2022484408,2016-04-27,10159
2022484408,2016-04-28,10140
2022484408,2016-04-29,10245
2022484408,2016-04-30,18387
2022484408,2016-05-01,10538
2022484408,2016-05-02,10379
2022484408,2016-05-03,12183
2022484408,2016-05-04,11768
2022484408,2016-05-05,11895
2022484408,2016-05-06,10227
2022484408,2016-05-07,6708
2022484408,2016-05-08,3292
2022484408,2016-05-09,13379
2022484408,2016-05-10,12798
2022484408,2016-05-11,13272
2022484408,2016-05-12,9117
2026352035,2016-04-12,4414
2026352035,2016-04-13,4993
2026352035,2016-04-14,3335
2026352035,2016-04-15,3821
2026352035,2016-04-16,2547
2026352035,2016-04-17,838
2026352035,2016-04-18,3325
2026352035,2016-04-19,2424
2026352035,2016-04-20,7222
2026352035,2016-04-21,2467
2026352035,2016-04-22,2915
2026352035,2016-04-23,12357
2026352035,2016-04-24,3490
2026352035,2016-04-25,6017
2026352035,2016-04-26,5933
2026352035,2016-04-27,6088
2026352035,2016-04-28,6375
2026352035,2016-04-29,7604
2026352035,2016-04-30,4729
2026352035,2016-05-01,3609
2026352035,2016-05-02,7018
2026352035,2016-05-03,5992
2026352035,2016-05-04,6564
2026352035,2016-05-05,12167
2026352035,2016-05-06,8198
2026352035,2016-05-07,4193
2026352035,2016-05-08,5528
2026352035,2016-05-09,10685
2026352035,2016-05-10,254
2026352035,2016-05-11,8580
2026352035,2016-05-12,8891
2320127002,2016-04-12,10725
2320127002,2016-04-13,7275
2320127002,2016-04-14,3973
2320127002,2016-04-15,5205
2320127002,2016-04-16,5057
2320127002,2016-04-17,6198
2320127002,2016-04-18,6559
2320127002,2016-04-19,5997
2320127002,2016-04-20,7192
2320127002,2016-04-21,3404
2320127002,2016-04-22,5583
2320127002,2016-04-23,5079
2320127002,2016-04-24,4165
2320127002,2016-04-25,3588
2320127002,2016-04-26,3409
2320127002,2016-04-27,1715
2320127002,2016-04-28,1532
2320127002,2016-04-29,924
2320127002,2016-04-30,4571
2320127002,2016-05-01,772
2320127002,2016-05-02,3634
2320127002,2016-05-03,7443
2320127002,2016-05-04,1201
2320127002,2016-05-05,5202
2320127002,2016-05-06,4878
2320127002,2016-05-07,7379
2320127002,2016-05-08,5161
2320127002,2016-05-09,3090
2320127002,2016-05-10,6227
2320127002,2016-05-11,6424
2320127002,2016-05-12,2661
2347167796,2016-04-12,10113
2347167796,2016-04-13,10352
2347167796,2016-04-14,10129
2347167796,2016-04-15,10465
2347167796,2016-04-16,22244
2347167796,2016-04-17,5472
2347167796,2016-04-18,8247
2347167796,2016-04-19,6711
2347167796,2016-04-20,10999
2347167796,2016-04-21,10080
2347167796,2016-04-22,7804
2347167796,2016-04-23,16901
2347167796,2016-04-24,9471
2347167796,2016-04-25,9482
2347167796,2016-04-26,5980
2347167796,2016-04-27,11423
2347167796,2016-04-28,5439
2347167796,2016-04-29,42
2873212765,2016-04-12,8796
2873212765,2016-04-13,7618
2873212765,2016-04-14,7910
2873212765,2016-04-15,8482
2873212765,2016-04-16,9685
2873212765,2016-04-17,2524
2873212765,2016-04-18,7762
2873212765,2016-04-19,7948
2873212765,2016-04-20,9202
2873212765,2016-04-21,8859
2873212765,2016-04-22,7286
2873212765,2016-04-23,9317
2873212765,2016-04-24,6873
2873212765,2016-04-25,7373
2873212765,2016-04-26,8242
2873212765,2016-04-27,3516
2873212765,2016-04-28,7913
2873212765,2016-04-29,7365
2873212765,2016-04-30,8452
2873212765,2016-05-01,7399
2873212765,2016-05-02,7525
2873212765,2016-05-03,7412
2873212765,2016-05-04,8278
2873212765,2016-05-05,8314
2873212765,2016-05-06,7063
2873212765,2016-05-07,4940
2873212765,2016-05-08,8168
2873212765,2016-05-09,7726
2873212765,2016-05-10,8275
2873212765,2016-05-11,6440
2873212765,2016-05-12,7566
3372868164,2016-04-12,4747
3372868164,2016-04-13,9715
3372868164,2016-04-14,8844
3372868164,2016-04-15,7451
3372868164,2016-04-16,6905
3372868164,2016-04-17,8199
3372868164,2016-04-18,6798
3372868164,2016-04-19,7711
3372868164,2016-04-20,4880
3372868164,2016-04-21,8857
3372868164,2016-04-22,3843
3372868164,2016-04-23,7396
3372868164,2016-04-24,6731
3372868164,2016-04-25,5995
3372868164,2016-04-26,8283
3372868164,2016-04-27,7904
3372868164,2016-04-28,5512
3372868164,2016-04-29,9135
3372868164,2016-04-30,5250
3372868164,2016-05-01,3077
3977333714,2016-04-12,8856
3977333714,2016-04-13,10035
3977333714,2016-04-14,7641
3977333714,2016-04-15,9010
3977333714,2016-04-16,13459
3977333714,2016-04-17,10415
3977333714,2016-04-18,11663
3977333714,2016-04-19,12414
3977333714,2016-04-20,11658
3977333714,2016-04-21,6093
3977333714,2016-04-22,8911
3977333714,2016-04-23,12058
3977333714,2016-04-24,14112
3977333714,2016-04-25,11177
3977333714,2016-04-26,11388
3977333714,2016-04-27,7193
3977333714,2016-04-28,7114
3977333714,2016-04-29,10645
3977333714,2016-04-30,13238
3977333714,2016-05-01,10414
3977333714,2016-05-02,16520
3977333714,2016-05-03,14335
3977333714,2016-05-04,13559
3977333714,2016-05-05,12312
3977333714,2016-05-06,11677
3977333714,2016-05-07,11550
3977333714,2016-05-08,13585
3977333714,2016-05-09,14687
3977333714,2016-05-10,13072
3977333714,2016-05-11,746
4020332650,2016-04-12,8539
4020332650,2016-04-13,0
4020332650,2016-04-14,108
4020332650,2016-04-15,1882
4020332650,2016-04-16,1982
4020332650,2016-04-17,16
4020332650,2016-04-18,62
4020332650,2016-04-19,0
4020332650,2016-04-20,0
4020332650,2016-04-21,0
4020332650,2016-04-22,0
4020332650,2016-04-23,0
4020332650,2016-04-24,0
4020332650,2016-04-25,0
4020332650,2016-04-26,0
4020332650,2016-04-27,0
4020332650,2016-04-28,0
4020332650,2016-04-29,0
4020332650,2016-04-30,0
4020332650,2016-05-01,0
4020332650,2016-05-02,475
4020332650,2016-05-03,4496
4020332650,2016-05-04,10252
4020332650,2016-05-05,11728
4020332650,2016-05-06,4369
4020332650,2016-05-07,6132
4020332650,2016-05-08,5862
4020332650,2016-05-09,4556
4020332650,2016-05-10,5546
4020332650,2016-05-11,3689
4020332650,2016-05-12,590
4057192912,2016-04-12,5394
4057192912,2016-04-13,5974
4057192912,2016-04-14,0
4057192912,2016-04-15,3984
4319703577,2016-04-12,7753
4319703577,2016-04-13,8204
4319703577,2016-04-14,10210
4319703577,2016-04-15,5664
4319703577,2016-04-16,4744
4319703577,2016-04-17,29
4319703577,2016-04-18,2276
4319703577,2016-04-19,8925
4319703577,2016-04-20,8954
4319703577,2016-04-21,3702
4319703577,2016-04-22,4500
4319703577,2016-04-23,4935
4319703577,2016-04-24,4081
4319703577,2016-04-25,9259
4319703577,2016-04-26,9899
4319703577,2016-04-27,10780
4319703577,2016-04-28,10817
4319703577,2016-04-29,7990
4319703577,2016-04-30,8221
4319703577,2016-05-01,1251
4319703577,2016-05-02,9261
4319703577,2016-05-03,9648
4319703577,2016-05-04,10429
4319703577,2016-05-05,13658
4319703577,2016-05-06,9524
4319703577,2016-05-07,7937
4319703577,2016-05-08,3672
4319703577,2016-05-09,10378
4319703577,2016-05-10,9487
4319703577,2016-05-11,9129
4319703577,2016-05-12,17
4388161847,2016-04-12,10122
4388161847,2016-04-13,10993
4388161847,2016-04-14,8863
4388161847,2016-04-15,8758
4388161847,2016-04-16,6580
4388161847,2016-04-17,4660
4388161847,2016-04-18,11009
4388161847,2016-04-19,10181
4388161847,2016-04-20,10553
4388161847,2016-04-21,10055
4388161847,2016-04-22,12139
4388161847,2016-04-23,13236
4388161847,2016-04-24,10243
4388161847,2016-04-25,12961
4388161847,2016-04-26,9461
4388161847,2016-04-27,11193
4388161847,2016-04-28,10074
4388161847,2016-04-29,9232
4388161847,2016-04-30,12533
4388161847,2016-05-01,10255
4388161847,2016-05-02,10096
4388161847,2016-05-03,12727
4388161847,2016-05-04,12375
4388161847,2016-05-05,9603
4388161847,2016-05-06,13175
4388161847,2016-05-07,22770
4388161847,2016-05-08,17298
4388161847,2016-05-09,10218
4388161847,2016-05-10,10299
4388161847,2016-05-11,10201
4388161847,2016-05-12,3369
4445114986,2016-04-12,3276
4445114986,2016-04-13,2961
4445114986,2016-04-14,3974
4445114986,2016-04-15,7198
4445114986,2016-04-16,3945
4445114986,2016-04-17,2268
4445114986,2016-04-18,6155
4445114986,2016-04-19,2064
4445114986,2016-04-20,2072
4445114986,2016-04-21,3809
4445114986,2016-04-22,6831
4445114986,2016-04-23,4363
4445114986,2016-04-24,5002
4445114986,2016-04-25,3385
4445114986,2016-04-26,6326
4445114986,2016-04-27,7243
4445114986,2016-04-28,4493
4445114986,2016-04-29,4676
4445114986,2016-04-30,6222
4445114986,2016-05-01,5232
4445114986,2016-05-02,6910
4445114986,2016-05-03,7502
4445114986,2016-05-04,2923
4445114986,2016-05-05,3800
4445114986,2016-05-06,4514
4445114986,2016-05-07,5183
4445114986,2016-05-08,7303
