Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-04-12 12:00:00,1,327,346
1503960366,2016-04-13 12:00:00,2,384,407
1503960366,2016-04-15 12:00:00,1,412,442
1503960366,2016-04-16 12:00:00,2,340,367
1503960366,2016-04-17 12:00:00,1,700,712
1503960366,2016-04-19 12:00:00,1,304,320
1503960366,2016-04-20 12:00:00,1,360,377
1503960366,2016-04-21 12:00:00,1,325,364
1503960366,2016-04-23 12:00:00,1,361,384
1503960366,2016-04-24 12:00:00,1,430,449
1503960366,2016-04-25 12:00:00,1,277,323
1503960366,2016-04-26 12:00:00,1,245,274
1503960366,2016-04-28 12:00:00,1,366,393
1503960366,2016-04-29 12:00:00,1,341,354
1503960366,2016-04-30 12:00:00,1,404,425
1503960366,2016-05-01 12:00:00,1,369,396
1503960366,2016-05-02 12:00:00,1,277,309
1503960366,2016-05-03 12:00:00,1,273,296
1503960366,2016-05-05 12:00:00,1,247,264
1503960366,2016-05-06 12:00:00,1,334,367
1503960366,2016-05-07 12:00:00,1,331,349
1503960366,2016-05-08 12:00:00,1,594,611
1503960366,2016-05-09 12:00:00,1,338,342
1503960366,2016-05-10 12:00:00,1,383,403
1503960366,2016-05-11 12:00:00,1,285,306
1644430081,2016-04-29 12:00:00,1,119,127
1644430081,2016-04-30 12:00:00,1,124,142
1644430081,2016-05-02 12:00:00,1,796,961
1644430081,2016-05-08 12:00:00,1,137,154
1844505072,2016-04-15 12:00:00,1,644,961
1844505072,2016-04-30 12:00:00,1,722,961
1844505072,2016-05-01 12:00:00,1,590,961
1927972279,2016-04-12 12:00:00,3,750,775
1927972279,2016-04-13 12:00:00,1,398,422
1927972279,2016-04-15 12:00:00,2,475,499
1927972279,2016-04-26 12:00:00,1,296,315
1927972279,2016-04-28 12:00:00,1,166,178
2026352035,2016-04-12 12:00:00,1,503,546
2026352035,2016-04-13 12:00:00,1,531,565
2026352035,2016-04-14 12:00:00,1,545,568
2026352035,2016-04-15 12:00:00,1,523,573
2026352035,2016-04-16 12:00:00,1,524,567
2026352035,2016-04-17 12:00:00,1,437,498
2026352035,2016-04-19 12:00:00,1,498,540
2026352035,2016-04-20 12:00:00,1,461,510
2026352035,2016-04-21 12:00:00,1,477,514
2026352035,2016-04-22 12:00:00,1,520,545
2026352035,2016-04-23 12:00:00,1,522,554
2026352035,2016-04-24 12:00:00,1,555,591
2026352035,2016-04-25 12:00:00,1,506,531
2026352035,2016-04-27 12:00:00,1,508,545
2026352035,2016-04-28 12:00:00,1,513,545
2026352035,2016-04-29 12:00:00,1,490,510
2026352035,2016-04-30 12:00:00,1,573,607
2026352035,2016-05-01 12:00:00,1,527,546
2026352035,2016-05-02 12:00:00,1,511,543
2026352035,2016-05-04 12:00:00,1,538,560
2026352035,2016-05-05 12:00:00,1,468,485
2026352035,2016-05-06 12:00:00,1,524,548
2026352035,2016-05-07 12:00:00,1,511,521
2026352035,2016-05-08 12:00:00,1,541,568
2026352035,2016-05-09 12:00:00,1,531,556
2026352035,2016-05-10 12:00:00,1,357,380
2026352035,2016-05-11 12:00:00,1,523,553
2026352035,2016-05-12 12:00:00,1,456,485
2320127002,2016-04-23 12:00:00,1,61,69
2347167796,2016-04-13 12:00:00,1,467,531
2347167796,2016-04-14 12:00:00,1,445,489
2347167796,2016-04-15 12:00:00,1,452,504
2347167796,2016-04-17 12:00:00,1,556,602
2347167796,2016-04-18 12:00:00,1,500,557
2347167796,2016-04-19 12:00:00,1,465,514
2347167796,2016-04-21 12:00:00,1,460,484
2347167796,2016-04-22 12:00:00,1,405,461
2347167796,2016-04-23 12:00:00,1,374,386
2347167796,2016-04-24 12:00:00,1,442,459
2347167796,2016-04-25 12:00:00,1,433,471
2347167796,2016-04-26 12:00:00,1,436,490
2347167796,2016-04-27 12:00:00,1,448,499
2347167796,2016-04-28 12:00:00,1,408,450
2347167796,2016-04-29 12:00:00,1,411,473
3977333714,2016-04-12 12:00:00,1,274,469
3977333714,2016-04-13 12:00:00,2,295,456
3977333714,2016-04-14 12:00:00,1,291,397
3977333714,2016-04-15 12:00:00,1,424,556
3977333714,2016-04-16 12:00:00,1,283,510
3977333714,2016-04-17 12:00:00,1,381,566
3977333714,2016-04-18 12:00:00,2,412,522
3977333714,2016-04-19 12:00:00,1,219,395
3977333714,2016-04-20 12:00:00,2,152,305
3977333714,2016-04-21 12:00:00,1,332,512
3977333714,2016-04-22 12:00:00,1,355,476
3977333714,2016-04-23 12:00:00,1,235,372
3977333714,2016-04-24 12:00:00,1,310,526
3977333714,2016-04-25 12:00:00,1,262,467
3977333714,2016-04-26 12:00:00,1,250,371
3977333714,2016-04-27 12:00:00,1,349,540
3977333714,2016-04-28 12:00:00,1,261,423
3977333714,2016-04-29 12:00:00,1,333,478
3977333714,2016-04-30 12:00:00,1,237,382
3977333714,2016-05-01 12:00:00,1,383,626
3977333714,2016-05-02 12:00:00,1,230,384
3977333714,2016-05-03 12:00:00,1,292,500
3977333714,2016-05-04 12:00:00,1,213,336
3977333714,2016-05-05 12:00:00,1,318,480
3977333714,2016-05-06 12:00:00,1,323,512
3977333714,2016-05-07 12:00:00,1,237,443
3977333714,2016-05-08 12:00:00,2,259,456
3977333714,2016-05-10 12:00:00,1,312,452
4020332650,2016-04-12 12:00:00,1,501,541
4020332650,2016-04-16 12:00:00,1,77,77
4020332650,2016-05-03 12:00:00,1,322,332
4020332650,2016-05-04 12:00:00,1,478,536
4020332650,2016-05-05 12:00:00,1,226,248
4020332650,2016-05-06 12:00:00,1,385,408
4020332650,2016-05-08 12:00:00,1,364,402
4020332650,2016-05-10 12:00:00,1,442,494
4319703577,2016-04-14 12:00:00,1,535,557
4319703577,2016-04-15 12:00:00,1,465,491
4319703577,2016-04-16 12:00:00,1,506,522
4319703577,2016-04-18 12:00:00,1,515,551
4319703577,2016-04-19 12:00:00,2,461,498
4319703577,2016-04-20 12:00:00,1,523,543
4319703577,2016-04-21 12:00:00,1,59,65
4319703577,2016-04-22 12:00:00,1,533,550
4319703577,2016-04-23 12:00:00,1,692,722
4319703577,2016-04-24 12:00:00,1,467,501
4319703577,2016-04-25 12:00:00,1,488,506
4319703577,2016-04-26 12:00:00,1,505,516
4319703577,2016-04-27 12:00:00,1,286,307
4319703577,2016-04-28 12:00:00,1,497,522
4319703577,2016-04-29 12:00:00,1,523,546
4319703577,2016-04-30 12:00:00,1,490,516
4319703577,2016-05-01 12:00:00,1,484,500
4319703577,2016-05-02 12:00:00,1,478,506
4319703577,2016-05-03 12:00:00,1,474,512
4319703577,2016-05-06 12:00:00,1,450,491
4319703577,2016-05-07 12:00:00,1,507,530
4319703577,2016-05-08 12:00:00,1,602,638
4319703577,2016-05-09 12:00:00,1,535,565
4319703577,2016-05-10 12:00:00,1,487,517
4319703577,2016-05-11 12:00:00,1,529,558
4319703577,2016-05-12 12:00:00,1,302,321
4388161847,2016-04-15 12:00:00,1,499,526
4388161847,2016-04-16 12:00:00,2,426,448
4388161847,2016-04-17 12:00:00,2,619,641
4388161847,2016-04-18 12:00:00,1,99,104
4388161847,2016-04-19 12:00:00,1,329,338
4388161847,2016-04-20 12:00:00,1,421,451
4388161847,2016-04-21 12:00:00,1,442,458
4388161847,2016-04-22 12:00:00,1,82,85
4388161847,2016-04-23 12:00:00,1,478,501
4388161847,2016-04-24 12:00:00,3,552,595
4388161847,2016-04-26 12:00:00,1,319,346
4388161847,2016-04-27 12:00:00,1,439,500
4388161847,2016-04-28 12:00:00,1,428,458
4388161847,2016-04-30 12:00:00,2,409,430
4388161847,2016-05-01 12:00:00,1,547,597
4388161847,2016-05-02 12:00:00,2,368,376
4388161847,2016-05-04 12:00:00,1,390,414
4388161847,2016-05-05 12:00:00,1,471,495
4388161847,2016-05-05 12:00:00,1,471,495
4388161847,2016-05-07 12:00:00,1,472,496
4388161847,2016-05-08 12:00:00,2,529,541
4388161847,2016-05-09 12:00:00,1,62,65
4388161847,2016-05-10 12:00:00,1,354,375
4388161847,2016-05-11 12:00:00,1,469,494
4445114986,2016-04-12 12:00:00,2,429,457
4445114986,2016-04-13 12:00:00,2,370,406
4445114986,2016-04-14 12:00:00,1,441,492
4445114986,2016-04-15 12:00:00,2,337,379
4445114986,2016-04-16 12:00:00,1,462,499
4445114986,2016-04-17 12:00:00,1,98,107
4445114986,2016-04-19 12:00:00,2,388,424
4445114986,2016-04-20 12:00:00,1,439,462
4445114986,2016-04-21 12:00:00,1,436,469
4445114986,2016-04-22 12:00:00,1,388,417
4445114986,2016-04-25 12:00:00,1,328,345
4445114986,2016-04-26 12:00:00,2,353,391
4445114986,2016-04-27 12:00:00,1,332,374
4445114986,2016-04-28 12:00:00,1,419,442
4445114986,2016-04-29 12:00:00,1,106,108
4445114986,2016-04-30 12:00:00,1,322,353
4445114986,2016-05-01 12:00:00,2,439,459
4445114986,2016-05-02 12:00:00,1,502,542
4445114986,2016-05-03 12:00:00,2,417,450
4445114986,2016-05-04 12:00:00,2,337,363
4445114986,2016-05-05 12:00:00,2,462,513
4445114986,2016-05-06 12:00:00,2,374,402
4445114986,2016-05-07 12:00:00,2,401,436
4445114986,2016-05-08 12:00:00,1,361,391
4445114986,2016-05-09 12:00:00,1,457,533
4445114986,2016-05-10 12:00:00,1,405,426
4445114986,2016-05-11 12:00:00,1,499,530
4445114986,2016-05-12 12:00:00,1,483,501
4558609924,2016-04-21 12:00:00,1,126,137
4558609924,2016-04-26 12:00:00,1,103,121
4558609924,2016-04-29 12:00:00,1,171,179
4558609924,2016-05-01 12:00:00,1,115,129
4558609924,2016-05-08 12:00:00,1,123,134
4702921684,2016-04-12 12:00:00,1,425,439
4702921684,2016-04-13 12:00:00,2,400,430
4702921684,2016-04-14 12:00:00,1,384,415
4702921684,2016-04-15 12:00:00,1,253,257
4702921684,2016-04-16 12:00:00,2,382,406
4702921684,2016-04-17 12:00:00,1,591,612
4702921684,2016-04-18 12:00:00,1,293,312
4702921684,2016-04-19 12:00:00,1,457,487
4702921684,2016-04-20 12:00:00,1,454,468
4702921684,2016-04-21 12:00:00,1,425,434
4702921684,2016-04-23 12:00:00,1,465,475
4702921684,2016-04-24 12:00:00,1,480,506
4702921684,2016-04-25 12:00:00,1,370,380
4702921684,2016-04-26 12:00:00,1,421,429
4702921684,2016-04-27 12:00:00,1,432,449
4702921684,2016-04-28 12:00:00,1,442,461
4702921684,2016-04-29 12:00:00,1,433,447
4702921684,2016-04-30 12:00:00,1,479,501
4702921684,2016-05-03 12:00:00,1,327,373
4702921684,2016-05-04 12:00:00,1,412,434
4702921684,2016-05-05 12:00:00,1,414,428
4702921684,2016-05-06 12:00:00,1,404,449
4702921684,2016-05-07 12:00:00,1,520,543
4702921684,2016-05-07 12:00:00,1,520,543
4702921684,2016-05-09 12:00:00,1,435,458
4702921684,2016-05-10 12:00:00,1,416,431
4702921684,2016-05-11 12:00:00,1,354,366
4702921684,2016-05-12 12:00:00,1,404,442
5553957443,2016-04-12 12:00:00,1,441,464
5553957443,2016-04-13 12:00:00,2,455,488
5553957443,2016-04-14 12:00:00,1,357,418
5553957443,2016-04-15 12:00:00,1,377,409
5553957443,2016-04-16 12:00:00,2,651,686
5553957443,2016-04-17 12:00:00,1,350,402
5553957443,2016-04-18 12:00:00,2,520,541
5553957443,2016-04-19 12:00:00,1,357,410
5553957443,2016-04-20 12:00:00,1,658,678
5553957443,2016-04-21 12:00:00,1,399,431
5553957443,2016-04-22 12:00:00,1,322,353
5553957443,2016-04-23 12:00:00,2,631,725
5553957443,2016-04-24 12:00:00,2,553,640
5553957443,2016-04-25 12:00:00,1,433,468
5553957443,2016-04-26 12:00:00,1,412,453
5553957443,2016-04-27 12:00:00,1,347,391
5553957443,2016-04-28 12:00:00,1,421,457
5553957443,2016-04-29 12:00:00,1,450,495
5553957443,2016-04-30 12:00:00,2,775,843
5553957443,2016-05-01 12:00:00,2,622,686
5553957443,2016-05-02 12:00:00,1,409,471
5553957443,2016-05-03 12:00:00,1,380,429
5553957443,2016-05-04 12:00:00,1,447,470
5553957443,2016-05-05 12:00:00,1,419,464
5553957443,2016-05-06 12:00:00,1,400,434
5553957443,2016-05-07 12:00:00,1,442,470
5553957443,2016-05-08 12:00:00,1,568,608
5553957443,2016-05-09 12:00:00,1,453,494
5553957443,2016-05-10 12:00:00,1,418,443
5553957443,2016-05-11 12:00:00,1,463,486
5553957443,2016-05-12 12:00:00,1,438,475
5577150313,2016-04-12 12:00:00,1,419,438
5577150313,2016-04-13 12:00:00,1,432,458
5577150313,2016-04-14 12:00:00,1,477,497
5577150313,2016-04-15 12:00:00,1,392,413
5577150313,2016-04-16 12:00:00,1,406,445
5577150313,2016-04-17 12:00:00,1,549,583
5577150313,2016-04-18 12:00:00,1,527,553
5577150313,2016-04-19 12:00:00,1,449,465
5577150313,2016-04-20 12:00:00,1,447,480
5577150313,2016-04-21 12:00:00,1,414,437
5577150313,2016-04-22 12:00:00,1,338,366
5577150313,2016-04-23 12:00:00,1,384,402
5577150313,2016-04-24 12:00:00,1,543,615
5577150313,2016-04-25 12:00:00,1,421,461
5577150313,2016-04-26 12:00:00,1,354,377
5577150313,2016-04-27 12:00:00,1,424,452
5577150313,2016-04-28 12:00:00,1,361,372
5577150313,2016-04-29 12:00:00,1,459,485
5577150313,2016-04-30 12:00:00,1,412,433
5577150313,2016-05-01 12:00:00,1,379,398
5577150313,2016-05-02 12:00:00,2,525,553
5577150313,2016-05-03 12:00:00,1,508,543
5577150313,2016-05-04 12:00:00,1,603,634
5577150313,2016-05-05 12:00:00,1,74,78
5577150313,2016-05-10 12:00:00,1,504,562
5577150313,2016-05-11 12:00:00,1,431,476
6117666160,2016-04-16 12:00:00,1,380,398
6117666160,2016-04-17 12:00:00,2,336,350
6117666160,2016-04-18 12:00:00,2,493,510
6117666160,2016-04-19 12:00:00,1,465,492
6117666160,2016-04-20 12:00:00,1,474,502
6117666160,2016-04-21 12:00:00,1,508,550
6117666160,2016-04-22 12:00:00,1,480,546
6117666160,2016-04-23 12:00:00,1,492,539
6117666160,2016-04-24 12:00:00,1,353,367
6117666160,2016-04-27 12:00:00,1,542,557
6117666160,2016-04-28 12:00:00,1,393,416
6117666160,2016-04-29 12:00:00,1,600,636
6117666160,2016-05-01 12:00:00,1,507,575
6117666160,2016-05-05 12:00:00,1,392,415
6117666160,2016-05-06 12:00:00,2,658,698
6117666160,2016-05-07 12:00:00,2,498,507
6117666160,2016-05-08 12:00:00,1,555,603
6117666160,2016-05-09 12:00:00,1,492,522
6775888955,2016-04-13 12:00:00,1,235,260
6775888955,2016-04-14 12:00:00,1,423,441
6775888955,2016-04-15 12:00:00,1,391,406
6962181067,2016-04-12 12:00:00,1,366,387
6962181067,2016-04-13 12:00:00,3,630,679
6962181067,2016-04-14 12:00:00,2,508,535
6962181067,2016-04-15 12:00:00,1,370,386
6962181067,2016-04-16 12:00:00,1,357,366
6962181067,2016-04-17 12:00:00,1,427,446
6962181067,2016-04-18 12:00:00,1,442,458
6962181067,2016-04-19 12:00:00,1,476,535
6962181067,2016-04-20 12:00:00,1,418,424
6962181067,2016-04-21 12:00:00,1,451,457
6962181067,2016-04-22 12:00:00,1,425,435
6962181067,2016-04-23 12:00:00,1,528,546
6962181067,2016-04-24 12:00:00,1,511,514
6962181067,2016-04-25 12:00:00,1,400,415
6962181067,2016-04-26 12:00:00,1,441,446
6962181067,2016-04-27 12:00:00,1,455,467
6962181067,2016-04-28 12:00:00,1,440,453
6962181067,2016-04-29 12:00:00,1,433,447
6962181067,2016-04-30 12:00:00,1,422,424
6962181067,2016-05-01 12:00:00,1,411,426
6962181067,2016-05-02 12:00:00,1,466,482
6962181067,2016-05-03 12:00:00,1,394,418
6962181067,2016-05-04 12:00:00,1,442,455
6962181067,2016-05-05 12:00:00,1,467,491
6962181067,2016-05-06 12:00:00,1,443,462
6962181067,2016-05-07 12:00:00,1,298,334
6962181067,2016-05-08 12:00:00,1,541,569
6962181067,2016-05-09 12:00:00,1,489,497
6962181067,2016-05-10 12:00:00,1,469,481
6962181067,2016-05-11 12:00:00,1,452,480
6962181067,2016-05-12 12:00:00,1,516,535
7007744171,2016-04-16 12:00:00,1,79,82
7007744171,2016-05-01 12:00:00,1,58,61
7086361926,2016-04-12 12:00:00,1,514,525
7086361926,2016-04-13 12:00:00,1,451,465
7086361926,2016-04-14 12:00:00,1,472,476
7086361926,2016-04-15 12:00:00,1,377,386
7086361926,2016-04-19 12:00:00,1,472,483
7086361926,2016-04-20 12:00:00,1,492,502
7086361926,2016-04-21 12:00:00,1,390,411
7086361926,2016-04-22 12:00:00,1,428,448
7086361926,2016-04-24 12:00:00,1,681,704
7086361926,2016-04-25 12:00:00,1,446,447
7086361926,2016-04-26 12:00:00,1,485,500
7086361926,2016-04-27 12:00:00,1,469,479
7086361926,2016-04-28 12:00:00,1,354,367
7086361926,2016-04-30 12:00:00,1,485,489
7086361926,2016-05-01 12:00:00,1,388,407
7086361926,2016-05-02 12:00:00,1,440,459
7086361926,2016-05-03 12:00:00,1,456,461
7086361926,2016-05-04 12:00:00,1,420,436
7086361926,2016-05-06 12:00:00,1,322,333
7086361926,2016-05-07 12:00:00,1,530,548
7086361926,2016-05-08 12:00:00,1,481,510
7086361926,2016-05-09 12:00:00,1,427,438
7086361926,2016-05-11 12:00:00,1,451,463
7086361926,2016-05-12 12:00:00,1,444,457
8053475328,2016-04-20 12:00:00,1,486,493
8053475328,2016-04-23 12:00:00,1,331,337
8053475328,2016-05-07 12:00:00,1,74,75
8378563200,2016-04-12 12:00:00,1,338,356
8378563200,2016-04-13 12:00:00,2,447,487
8378563200,2016-04-14 12:00:00,1,424,455
8378563200,2016-04-15 12:00:00,1,513,533
8378563200,2016-04-16 12:00:00,2,611,689
8378563200,2016-04-17 12:00:00,2,525,591
8378563200,2016-04-18 12:00:00,1,398,451
8378563200,2016-04-19 12:00:00,1,387,421
8378563200,2016-04-20 12:00:00,1,381,409
8378563200,2016-04-21 12:00:00,1,396,417
8378563200,2016-04-22 12:00:00,1,441,469
8378563200,2016-04-23 12:00:00,1,565,591
8378563200,2016-04-24 12:00:00,1,458,492
8378563200,2016-04-25 12:00:00,1,388,402
8378563200,2016-04-25 12:00:00,1,388,402
8378563200,2016-04-26 12:00:00,1,550,584
8378563200,2016-04-27 12:00:00,1,531,600
8378563200,2016-04-28 12:00:00,1,506,556
8378563200,2016-04-29 12:00:00,1,527,562
8378563200,2016-04-30 12:00:00,1,468,555
8378563200,2016-05-01 12:00:00,1,475,539
8378563200,2016-05-02 12:00:00,1,351,385
8378563200,2016-05-03 12:00:00,1,405,429
8378563200,2016-05-04 12:00:00,1,441,477
8378563200,2016-05-05 12:00:00,1,381,417
8378563200,2016-05-06 12:00:00,1,323,355
8378563200,2016-05-07 12:00:00,2,459,513
8378563200,2016-05-08 12:00:00,1,545,606
8378563200,2016-05-09 12:00:00,1,359,399
8378563200,2016-05-10 12:00:00,1,342,391
8378563200,2016-05-11 12:00:00,1,368,387
8378563200,2016-05-12 12:00:00,1,496,546
8792009665,2016-04-12 12:00:00,1,458,493
8792009665,2016-04-13 12:00:00,1,531,552
8792009665,2016-04-14 12:00:00,1,486,503
8792009665,2016-04-15 12:00:00,1,363,377
8792009665,2016-04-20 12:00:00,1,528,547
8792009665,2016-04-22 12:00:00,1,391,407
8792009665,2016-04-23 12:00:00,1,339,360
8792009665,2016-04-27 12:00:00,1,423,428
8792009665,2016-04-28 12:00:00,1,402,416
8792009665,2016-04-29 12:00:00,1,398,406
8792009665,2016-04-30 12:00:00,1,343,360
8792009665,2016-05-01 12:00:00,1,503,527
8792009665,2016-05-02 12:00:00,1,415,423
8792009665,2016-05-03 12:00:00,1,516,545
8792009665,2016-05-04 12:00:00,1,439,463
