"id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","total_time_before_asleep"
"1503960366","2016-04-12",1,327,346,19
"1503960366","2016-04-13",2,384,407,23
"1503960366","2016-04-15",1,412,442,30
"1503960366","2016-04-16",2,340,367,27
"1503960366","2016-04-17",1,700,712,12
"1503960366","2016-04-19",1,304,320,16
"1503960366","2016-04-20",1,360,377,17
"1503960366","2016-04-21",1,325,364,39
"1503960366","2016-04-23",1,361,384,23
"1503960366","2016-04-24",1,430,449,19
"1503960366","2016-04-25",1,277,323,46
"1503960366","2016-04-26",1,245,274,29
"1503960366","2016-04-28",1,366,393,27
"1503960366","2016-04-29",1,341,354,13
"1503960366","2016-04-30",1,404,425,21
"1503960366","2016-05-01",1,369,396,27
"1503960366","2016-05-02",1,277,309,32
"1503960366","2016-05-03",1,273,296,23
"1503960366","2016-05-05",1,247,264,17
"1503960366","2016-05-06",1,334,367,33
"1503960366","2016-05-07",1,331,349,18
"1503960366","2016-05-08",1,594,611,17
"1503960366","2016-05-09",1,338,342,4
"1503960366","2016-05-10",1,383,403,20
"1503960366","2016-05-11",1,285,306,21
"1644430081","2016-04-29",1,119,127,8
"1644430081","2016-04-30",1,124,142,18
"1644430081","2016-05-02",1,796,961,165
"1644430081","2016-05-08",1,137,154,17
"1844505072","2016-04-15",1,644,961,317
"1844505072","2016-04-30",1,722,961,239
"1844505072","2016-05-01",1,590,961,371
"1927972279","2016-04-12",3,750,775,25
"1927972279","2016-04-13",1,398,422,24
"1927972279","2016-04-15",2,475,499,24
"1927972279","2016-04-26",1,296,315,19
"1927972279","2016-04-28",1,166,178,12
"2026352035","2016-04-12",1,503,546,43
"2026352035","2016-04-13",1,531,565,34
"2026352035","2016-04-14",1,545,568,23
"2026352035","2016-04-15",1,523,573,50
"2026352035","2016-04-16",1,524,567,43
"2026352035","2016-04-17",1,437,498,61
"2026352035","2016-04-19",1,498,540,42
"2026352035","2016-04-20",1,461,510,49
"2026352035","2016-04-21",1,477,514,37
"2026352035","2016-04-22",1,520,545,25
"2026352035","2016-04-23",1,522,554,32
"2026352035","2016-04-24",1,555,591,36
"2026352035","2016-04-25",1,506,531,25
"2026352035","2016-04-27",1,508,545,37
"2026352035","2016-04-28",1,513,545,32
"2026352035","2016-04-29",1,490,510,20
"2026352035","2016-04-30",1,573,607,34
"2026352035","2016-05-01",1,527,546,19
"2026352035","2016-05-02",1,511,543,32
"2026352035","2016-05-04",1,538,560,22
"2026352035","2016-05-05",1,468,485,17
"2026352035","2016-05-06",1,524,548,24
"2026352035","2016-05-07",1,511,521,10
"2026352035","2016-05-08",1,541,568,27
"2026352035","2016-05-09",1,531,556,25
"2026352035","2016-05-10",1,357,380,23
"2026352035","2016-05-11",1,523,553,30
"2026352035","2016-05-12",1,456,485,29
"2320127002","2016-04-23",1,61,69,8
"2347167796","2016-04-13",1,467,531,64
"2347167796","2016-04-14",1,445,489,44
"2347167796","2016-04-15",1,452,504,52
"2347167796","2016-04-17",1,556,602,46
"2347167796","2016-04-18",1,500,557,57
"2347167796","2016-04-19",1,465,514,49
"2347167796","2016-04-21",1,460,484,24
"2347167796","2016-04-22",1,405,461,56
"2347167796","2016-04-23",1,374,386,12
"2347167796","2016-04-24",1,442,459,17
"2347167796","2016-04-25",1,433,471,38
"2347167796","2016-04-26",1,436,490,54
"2347167796","2016-04-27",1,448,499,51
"2347167796","2016-04-28",1,408,450,42
"2347167796","2016-04-29",1,411,473,62
"3977333714","2016-04-12",1,274,469,195
"3977333714","2016-04-13",2,295,456,161
"3977333714","2016-04-14",1,291,397,106
"3977333714","2016-04-15",1,424,556,132
"3977333714","2016-04-16",1,283,510,227
"3977333714","2016-04-17",1,381,566,185
"3977333714","2016-04-18",2,412,522,110
"3977333714","2016-04-19",1,219,395,176
"3977333714","2016-04-20",2,152,305,153
"3977333714","2016-04-21",1,332,512,180
"3977333714","2016-04-22",1,355,476,121
"3977333714","2016-04-23",1,235,372,137
"3977333714","2016-04-24",1,310,526,216
"3977333714","2016-04-25",1,262,467,205
"3977333714","2016-04-26",1,250,371,121
"3977333714","2016-04-27",1,349,540,191
"3977333714","2016-04-28",1,261,423,162
"3977333714","2016-04-29",1,333,478,145
"3977333714","2016-04-30",1,237,382,145
"3977333714","2016-05-01",1,383,626,243
"3977333714","2016-05-02",1,230,384,154
"3977333714","2016-05-03",1,292,500,208
"3977333714","2016-05-04",1,213,336,123
"3977333714","2016-05-05",1,318,480,162
"3977333714","2016-05-06",1,323,512,189
"3977333714","2016-05-07",1,237,443,206
"3977333714","2016-05-08",2,259,456,197
"3977333714","2016-05-10",1,312,452,140
"4020332650","2016-04-12",1,501,541,40
"4020332650","2016-04-16",1,77,77,0
"4020332650","2016-05-03",1,322,332,10
"4020332650","2016-05-04",1,478,536,58
"4020332650","2016-05-05",1,226,248,22
"4020332650","2016-05-06",1,385,408,23
"4020332650","2016-05-08",1,364,402,38
"4020332650","2016-05-10",1,442,494,52
"4319703577","2016-04-14",1,535,557,22
"4319703577","2016-04-15",1,465,491,26
"4319703577","2016-04-16",1,506,522,16
"4319703577","2016-04-18",1,515,551,36
"4319703577","2016-04-19",2,461,498,37
"4319703577","2016-04-20",1,523,543,20
"4319703577","2016-04-21",1,59,65,6
"4319703577","2016-04-22",1,533,550,17
"4319703577","2016-04-23",1,692,722,30
"4319703577","2016-04-24",1,467,501,34
"4319703577","2016-04-25",1,488,506,18
"4319703577","2016-04-26",1,505,516,11
"4319703577","2016-04-27",1,286,307,21
"4319703577","2016-04-28",1,497,522,25
"4319703577","2016-04-29",1,523,546,23
"4319703577","2016-04-30",1,490,516,26
"4319703577","2016-05-01",1,484,500,16
"4319703577","2016-05-02",1,478,506,28
"4319703577","2016-05-03",1,474,512,38
"4319703577","2016-05-06",1,450,491,41
"4319703577","2016-05-07",1,507,530,23
"4319703577","2016-05-08",1,602,638,36
"4319703577","2016-05-09",1,535,565,30
"4319703577","2016-05-10",1,487,517,30
"4319703577","2016-05-11",1,529,558,29
"4319703577","2016-05-12",1,302,321,19
"4388161847","2016-04-15",1,499,526,27
"4388161847","2016-04-16",2,426,448,22
"4388161847","2016-04-17",2,619,641,22
"4388161847","2016-04-18",1,99,104,5
"4388161847","2016-04-19",1,329,338,9
"4388161847","2016-04-20",1,421,451,30
"4388161847","2016-04-21",1,442,458,16
"4388161847","2016-04-22",1,82,85,3
"4388161847","2016-04-23",1,478,501,23
"4388161847","2016-04-24",3,552,595,43
"4388161847","2016-04-26",1,319,346,27
"4388161847","2016-04-27",1,439,500,61
"4388161847","2016-04-28",1,428,458,30
"4388161847","2016-04-30",2,409,430,21
"4388161847","2016-05-01",1,547,597,50
"4388161847","2016-05-02",2,368,376,8
"4388161847","2016-05-04",1,390,414,24
"4388161847","2016-05-05",1,471,495,24
"4388161847","2016-05-05",1,471,495,24
"4388161847","2016-05-07",1,472,496,24
"4388161847","2016-05-08",2,529,541,12
"4388161847","2016-05-09",1,62,65,3
"4388161847","2016-05-10",1,354,375,21
"4388161847","2016-05-11",1,469,494,25
"4445114986","2016-04-12",2,429,457,28
"4445114986","2016-04-13",2,370,406,36
"4445114986","2016-04-14",1,441,492,51
"4445114986","2016-04-15",2,337,379,42
"4445114986","2016-04-16",1,462,499,37
"4445114986","2016-04-17",1,98,107,9
"4445114986","2016-04-19",2,388,424,36
"4445114986","2016-04-20",1,439,462,23
"4445114986","2016-04-21",1,436,469,33
"4445114986","2016-04-22",1,388,417,29
"4445114986","2016-04-25",1,328,345,17
"4445114986","2016-04-26",2,353,391,38
"4445114986","2016-04-27",1,332,374,42
"4445114986","2016-04-28",1,419,442,23
"4445114986","2016-04-29",1,106,108,2
"4445114986","2016-04-30",1,322,353,31
"4445114986","2016-05-01",2,439,459,20
"4445114986","2016-05-02",1,502,542,40
"4445114986","2016-05-03",2,417,450,33
"4445114986","2016-05-04",2,337,363,26
"4445114986","2016-05-05",2,462,513,51
"4445114986","2016-05-06",2,374,402,28
"4445114986","2016-05-07",2,401,436,35
"4445114986","2016-05-08",1,361,391,30
"4445114986","2016-05-09",1,457,533,76
"4445114986","2016-05-10",1,405,426,21
"4445114986","2016-05-11",1,499,530,31
"4445114986","2016-05-12",1,483,501,18
"4558609924","2016-04-21",1,126,137,11
"4558609924","2016-04-26",1,103,121,18
"4558609924","2016-04-29",1,171,179,8
"4558609924","2016-05-01",1,115,129,14
"4558609924","2016-05-08",1,123,134,11
"4702921684","2016-04-12",1,425,439,14
"4702921684","2016-04-13",2,400,430,30
"4702921684","2016-04-14",1,384,415,31
"4702921684","2016-04-15",1,253,257,4
"4702921684","2016-04-16",2,382,406,24
"4702921684","2016-04-17",1,591,612,21
"4702921684","2016-04-18",1,293,312,19
"4702921684","2016-04-19",1,457,487,30
"4702921684","2016-04-20",1,454,468,14
"4702921684","2016-04-21",1,425,434,9
"4702921684","2016-04-23",1,465,475,10
"4702921684","2016-04-24",1,480,506,26
"4702921684","2016-04-25",1,370,380,10
"4702921684","2016-04-26",1,421,429,8
"4702921684","2016-04-27",1,432,449,17
"4702921684","2016-04-28",1,442,461,19
"4702921684","2016-04-29",1,433,447,14
"4702921684","2016-04-30",1,479,501,22
"4702921684","2016-05-03",1,327,373,46
"4702921684","2016-05-04",1,412,434,22
"4702921684","2016-05-05",1,414,428,14
"4702921684","2016-05-06",1,404,449,45
"4702921684","2016-05-07",1,520,543,23
"4702921684","2016-05-07",1,520,543,23
"4702921684","2016-05-09",1,435,458,23
"4702921684","2016-05-10",1,416,431,15
"4702921684","2016-05-11",1,354,366,12
"4702921684","2016-05-12",1,404,442,38
"5553957443","2016-04-12",1,441,464,23
"5553957443","2016-04-13",2,455,488,33
"5553957443","2016-04-14",1,357,418,61
"5553957443","2016-04-15",1,377,409,32
"5553957443","2016-04-16",2,651,686,35
"5553957443","2016-04-17",1,350,402,52
"5553957443","2016-04-18",2,520,541,21
"5553957443","2016-04-19",1,357,410,53
"5553957443","2016-04-20",1,658,678,20
"5553957443","2016-04-21",1,399,431,32
"5553957443","2016-04-22",1,322,353,31
"5553957443","2016-04-23",2,631,725,94
"5553957443","2016-04-24",2,553,640,87
"5553957443","2016-04-25",1,433,468,35
"5553957443","2016-04-26",1,412,453,41
"5553957443","2016-04-27",1,347,391,44
"5553957443","2016-04-28",1,421,457,36
"5553957443","2016-04-29",1,450,495,45
"5553957443","2016-04-30",2,775,843,68
"5553957443","2016-05-01",2,622,686,64
"5553957443","2016-05-02",1,409,471,62
"5553957443","2016-05-03",1,380,429,49
"5553957443","2016-05-04",1,447,470,23
"5553957443","2016-05-05",1,419,464,45
"5553957443","2016-05-06",1,400,434,34
"5553957443","2016-05-07",1,442,470,28
"5553957443","2016-05-08",1,568,608,40
"5553957443","2016-05-09",1,453,494,41
"5553957443","2016-05-10",1,418,443,25
"5553957443","2016-05-11",1,463,486,23
"5553957443","2016-05-12",1,438,475,37
"5577150313","2016-04-12",1,419,438,19
"5577150313","2016-04-13",1,432,458,26
"5577150313","2016-04-14",1,477,497,20
"5577150313","2016-04-15",1,392,413,21
"5577150313","2016-04-16",1,406,445,39
"5577150313","2016-04-17",1,549,583,34
"5577150313","2016-04-18",1,527,553,26
"5577150313","2016-04-19",1,449,465,16
"5577150313","2016-04-20",1,447,480,33
"5577150313","2016-04-21",1,414,437,23
"5577150313","2016-04-22",1,338,366,28
"5577150313","2016-04-23",1,384,402,18
"5577150313","2016-04-24",1,543,615,72
"5577150313","2016-04-25",1,421,461,40
"5577150313","2016-04-26",1,354,377,23
"5577150313","2016-04-27",1,424,452,28
"5577150313","2016-04-28",1,361,372,11
"5577150313","2016-04-29",1,459,485,26
"5577150313","2016-04-30",1,412,433,21
"5577150313","2016-05-01",1,379,398,19
"5577150313","2016-05-02",2,525,553,28
"5577150313","2016-05-03",1,508,543,35
"5577150313","2016-05-04",1,603,634,31
"5577150313","2016-05-05",1,74,78,4
"5577150313","2016-05-10",1,504,562,58
"5577150313","2016-05-11",1,431,476,45
"6117666160","2016-04-16",1,380,398,18
"6117666160","2016-04-17",2,336,350,14
"6117666160","2016-04-18",2,493,510,17
"6117666160","2016-04-19",1,465,492,27
"6117666160","2016-04-20",1,474,502,28
"6117666160","2016-04-21",1,508,550,42
"6117666160","2016-04-22",1,480,546,66
"6117666160","2016-04-23",1,492,539,47
"6117666160","2016-04-24",1,353,367,14
"6117666160","2016-04-27",1,542,557,15
"6117666160","2016-04-28",1,393,416,23
"6117666160","2016-04-29",1,600,636,36
"6117666160","2016-05-01",1,507,575,68
"6117666160","2016-05-05",1,392,415,23
"6117666160","2016-05-06",2,658,698,40
"6117666160","2016-05-07",2,498,507,9
"6117666160","2016-05-08",1,555,603,48
"6117666160","2016-05-09",1,492,522,30
"6775888955","2016-04-13",1,235,260,25
"6775888955","2016-04-14",1,423,441,18
"6775888955","2016-04-15",1,391,406,15
"6962181067","2016-04-12",1,366,387,21
"6962181067","2016-04-13",3,630,679,49
"6962181067","2016-04-14",2,508,535,27
"6962181067","2016-04-15",1,370,386,16
"6962181067","2016-04-16",1,357,366,9
"6962181067","2016-04-17",1,427,446,19
"6962181067","2016-04-18",1,442,458,16
"6962181067","2016-04-19",1,476,535,59
"6962181067","2016-04-20",1,418,424,6
"6962181067","2016-04-21",1,451,457,6
"6962181067","2016-04-22",1,425,435,10
"6962181067","2016-04-23",1,528,546,18
"6962181067","2016-04-24",1,511,514,3
"6962181067","2016-04-25",1,400,415,15
"6962181067","2016-04-26",1,441,446,5
"6962181067","2016-04-27",1,455,467,12
"6962181067","2016-04-28",1,440,453,13
"6962181067","2016-04-29",1,433,447,14
"6962181067","2016-04-30",1,422,424,2
"6962181067","2016-05-01",1,411,426,15
"6962181067","2016-05-02",1,466,482,16
"6962181067","2016-05-03",1,394,418,24
"6962181067","2016-05-04",1,442,455,13
"6962181067","2016-05-05",1,467,491,24
"6962181067","2016-05-06",1,443,462,19
"6962181067","2016-05-07",1,298,334,36
"6962181067","2016-05-08",1,541,569,28
"6962181067","2016-05-09",1,489,497,8
"6962181067","2016-05-10",1,469,481,12
"6962181067","2016-05-11",1,452,480,28
"6962181067","2016-05-12",1,516,535,19
"7007744171","2016-04-16",1,79,82,3
"7007744171","2016-05-01",1,58,61,3
"7086361926","2016-04-12",1,514,525,11
"7086361926","2016-04-13",1,451,465,14
"7086361926","2016-04-14",1,472,476,4
"7086361926","2016-04-15",1,377,386,9
"7086361926","2016-04-19",1,472,483,11
"7086361926","2016-04-20",1,492,502,10
"7086361926","2016-04-21",1,390,411,21
"7086361926","2016-04-22",1,428,448,20
"7086361926","2016-04-24",1,681,704,23
"7086361926","2016-04-25",1,446,447,1
"7086361926","2016-04-26",1,485,500,15
"7086361926","2016-04-27",1,469,479,10
"7086361926","2016-04-28",1,354,367,13
"7086361926","2016-04-30",1,485,489,4
"7086361926","2016-05-01",1,388,407,19
"7086361926","2016-05-02",1,440,459,19
"7086361926","2016-05-03",1,456,461,5
"7086361926","2016-05-04",1,420,436,16
"7086361926","2016-05-06",1,322,333,11
"7086361926","2016-05-07",1,530,548,18
"7086361926","2016-05-08",1,481,510,29
"7086361926","2016-05-09",1,427,438,11
"7086361926","2016-05-11",1,451,463,12
"7086361926","2016-05-12",1,444,457,13
"8053475328","2016-04-20",1,486,493,7
"8053475328","2016-04-23",1,331,337,6
"8053475328","2016-05-07",1,74,75,1
"8378563200","2016-04-12",1,338,356,18
"8378563200","2016-04-13",2,447,487,40
"8378563200","2016-04-14",1,424,455,31
"8378563200","2016-04-15",1,513,533,20
"8378563200","2016-04-16",2,611,689,78
"8378563200","2016-04-17",2,525,591,66
"8378563200","2016-04-18",1,398,451,53
"8378563200","2016-04-19",1,387,421,34
"8378563200","2016-04-20",1,381,409,28
"8378563200","2016-04-21",1,396,417,21
"8378563200","2016-04-22",1,441,469,28
"8378563200","2016-04-23",1,565,591,26
"8378563200","2016-04-24",1,458,492,34
"8378563200","2016-04-25",1,388,402,14
"8378563200","2016-04-25",1,388,402,14
"8378563200","2016-04-26",1,550,584,34
"8378563200","2016-04-27",1,531,600,69
"8378563200","2016-04-28",1,506,556,50
"8378563200","2016-04-29",1,527,562,35
"8378563200","2016-04-30",1,468,555,87
"8378563200","2016-05-01",1,475,539,64
"8378563200","2016-05-02",1,351,385,34
"8378563200","2016-05-03",1,405,429,24
"8378563200","2016-05-04",1,441,477,36
"8378563200","2016-05-05",1,381,417,36
"8378563200","2016-05-06",1,323,355,32
"8378563200","2016-05-07",2,459,513,54
"8378563200","2016-05-08",1,545,606,61
"8378563200","2016-05-09",1,359,399,40
"8378563200","2016-05-10",1,342,391,49
"8378563200","2016-05-11",1,368,387,19
"8378563200","2016-05-12",1,496,546,50
"8792009665","2016-04-12",1,458,493,35
"8792009665","2016-04-13",1,531,552,21
"8792009665","2016-04-14",1,486,503,17
"8792009665","2016-04-15",1,363,377,14
"8792009665","2016-04-20",1,528,547,19
"8792009665","2016-04-22",1,391,407,16
"8792009665","2016-04-23",1,339,360,21
"8792009665","2016-04-27",1,423,428,5
"8792009665","2016-04-28",1,402,416,14
"8792009665","2016-04-29",1,398,406,8
"8792009665","2016-04-30",1,343,360,17
"8792009665","2016-05-01",1,503,527,24
"8792009665","2016-05-02",1,415,423,8
"8792009665","2016-05-03",1,516,545,29
"8792009665","2016-05-04",1,439,463,24
